1,Adjuntas,4,19546,1
3,Aguada,8,42219,2
5,Aguadilla,12,61913,3
7,Aguas Buenas,16,28815,4
9,Aibonito,20,26141,5
11,Añasco,24,29263,6
13,Arecibo,28,97576,7
15,Arroyo,32,19609,8
17,Barceloneta,36,24517,9
19,Barranquitas,40,30276,10
21,Bayamón,44,212006,11
23,Cabo Rojo,48,50482,12
25,Caguas,52,143299,13
27,Camuy,56,35380,14
29,Canóvanas,60,47165,15
31,Carolina,64,179239,16
33,Cataño,68,28647,17
35,Cayey,72,48248,18
37,Ceiba,76,14459,19
39,Ciales,80,19058,20
41,Cidra,84,43591,21
43,Coamo,88,40240,22
45,Comerío,92,20776,23
47,Corozal,96,37312,24
49,Culebra,100,1840,25
51,Dorado,104,37647,26
53,Fajardo,108,37847,27
54,Florida,112,12699,28
55,Guánica,116,19974,29
57,Guayama,120,45394,30
59,Guayanilla,124,21975,31
61,Guaynabo,128,98834,32
63,Gurabo,132,44123,33
65,Hatillo,136,41645,34
67,Hormigueros,140,17213,35
69,Humacao,144,58900,36
71,Isabela,148,45676,37
73,Jayuya,152,16855,38
75,Juana Díaz,156,51020,39
77,Juncos,160,39846,40
79,Lajas,164,25996,41
81,Lares,168,31567,42
83,Las Marías,172,10147,43
85,Las Piedras,176,38153,44
87,Loíza,180,30679,45
89,Luquillo,184,20129,46
91,Manatí,188,44604,47
93,Maricao,192,6340,48
95,Maunabo,196,12390,49
97,Mayagüez,200,91114,51
99,Moca,204,40277,52
101,Morovis,208,32352,53
103,Naguabo,212,26340,54
105,Naranjito,216,30454,55
107,Orocovis,220,23642,56
109,Patillas,224,19541,57
111,Peñuelas,228,24867,58
113,Ponce,232,170742,59
115,Quebradillas,236,25988,60
117,Rincón,240,15207,61
119,Río Grande,244,54264,62
121,Sabana Grande,248,25528,63
123,Salinas,252,31251,64
125,San Germán,256,35978,65
127,San Juan,260,404405,66
127,San Juan,272,404405,66
127,San Juan,274,404405,66
129,San Lorenzo,276,41301,67
131,San Sebastián,280,42969,68
133,Santa Isabel,284,23121,69
135,Toa Alta,288,72792,70
137,Toa Baja,292,90820,71
139,Trujillo Alto,296,75443,72
141,Utuado,300,33714,73
143,Vega Alta,304,39803,74
145,Vega Baja,308,60412,75
147,Vieques,312,9307,76
149,Villalba,316,26543,77
151,Yabucoa,320,38374,78
153,Yauco,324,43047,79
